frame,time_s,detected,vis_min,phase,phase_pct,kick_side,kick_knee_angle,kick_hip_flexion,kick_ankle_angle,kick_hip_abduction,kick_elbow_angle,sup_knee_angle,sup_hip_flexion,sup_ankle_angle,sup_hip_abduction,sup_elbow_angle,trunk_lean_total,trunk_lean_sagittal,trunk_lean_frontal,pelvis_tilt_frontal,pelvis_rotation,shoulder_rotation,shoulder_hip_separation,pelvis_foreshorten_ratio,pelvis_tilt_conf,kick_leg_ext_ratio,sup_leg_ext_ratio,kick_ankle_reach_ap,kick_ankle_reach_ml,kick_ankle_height,kick_knee_height,sup_ankle_height,kick_wrist_height,sup_wrist_height,com_ap,com_ml,com_height,com_speed,com_vel_ap,com_vel_vert,com_over_base_ap,com_over_base_ml,com_base_dist,sup_ankle_speed,sup_foot_planted,kick_knee_angle_vel,kick_hip_flexion_vel,sup_knee_angle_vel,trunk_lean_sagittal_vel,pelvis_tilt_frontal_vel,kick_leg_ext_ratio_vel,kick_ankle_speed
30,1.0,1,0.6512,ready,85.71,left,172.05589,2.21952,113.08662,4.93322,78.59819,161.52214,15.32277,111.96267,5.78669,94.21448,5.21882,3.67064,-3.70469,-2.2583,-135.03673,-139.9056,-4.86887,0.6839,0.56483,0.99268,0.97368,0.17262,0.37372,-1.58524,-0.851,-1.5215,-0.26853,-0.68699,0.06384,-0.01088,0.1998,0.27738,-0.03109,-0.02222,-0.00019,-0.03795,0.03795,3.01536,0,-24.42512,40.85456,275.09029,-10.78357,-13.29683,0.35729,3.58449
31,1.03333,1,0.66728,ready,88.57,left,172.11379,7.46625,111.55311,11.98119,83.0257,168.82184,15.77196,111.12166,10.10775,93.95558,5.66837,3.30479,-4.60018,-3.0591,-137.96417,-141.72049,-3.75631,0.6517,0.52561,1.00896,0.99497,0.17975,0.54594,-1.57763,-0.8547,-1.53619,-0.23687,-0.69695,0.06439,0.00263,0.2021,0.35294,-0.07971,0.11167,-0.10699,-0.08673,0.13772,2.86984,0,41.57807,125.46933,130.53325,-18.33873,-20.16089,0.36398,4.29472
32,1.06667,1,0.78179,ready,91.43,left,174.82776,10.58414,110.72114,16.00182,82.03839,170.22435,16.30804,110.53409,14.43887,91.45489,6.04207,2.44806,-5.52053,-3.60236,-138.3559,-140.68948,-2.33358,0.60747,0.47331,1.01694,1.01444,0.17721,0.65906,-1.5585,-0.84415,-1.54028,-0.17797,-0.67866,0.0587,0.01111,0.20721,0.30778,-0.28249,0.09215,-0.11519,-0.18939,0.22167,1.55402,0,29.57142,23.64675,23.62957,-32.1472,-5.20481,-0.05698,1.26971
33,1.1,1,0.7752,ready,94.29,left,174.08522,9.0427,112.35827,14.04325,78.96801,170.39715,14.59077,112.27819,13.93206,91.60495,5.14253,1.16165,-5.00892,-3.40609,-136.61837,-138.06888,-1.45051,0.62472,0.49351,1.00516,1.01555,0.15248,0.62131,-1.54978,-0.83902,-1.54556,-0.09932,-0.66566,0.04572,0.00827,0.20827,0.28597,-0.21958,-0.05879,-0.09599,-0.19292,0.21548,1.42525,0,5.09563,-60.78648,-4.14946,-26.16129,13.35246,-0.2912,2.21987
34,1.13333,1,0.67051,ready,97.14,left,175.16747,6.53171,115.22869,10.49314,79.90349,169.94772,14.026,113.93589,11.05324,92.54653,4.03657,0.70398,-3.97451,-2.7122,-136.40129,-136.83015,-0.42886,0.69251,0.57563,0.99753,1.00523,0.142,0.51553,-1.56689,-0.84798,-1.54924,-0.04395,-0.67535,0.04413,-0.00051,0.20333,0.63231,0.24921,-0.03525,-0.10651,-0.11001,0.15313,3.10967,0,-185.68372,1.67246,-58.19,1.35743,6.66616,-0.67408,3.77301
35,1.16667,1,0.72225,chamber,0.0,left,161.7063,9.1542,115.77115,2.25294,78.09075,166.51781,15.67664,115.86421,6.27171,86.12594,4.76951,1.25214,-4.60148,-2.96168,-133.4668,-134.1823,-0.7155,0.74119,0.63701,0.96022,0.98393,0.1962,0.37427,-1.52901,-0.80944,-1.53464,-0.00573,-0.60334,0.06223,-0.03064,0.2058,1.286,0.52012,0.2899,-0.11193,-0.01865,0.11347,3.16458,0,-718.42039,355.61896,-124.00082,4.94711,-40.02484,-2.1288,5.54079
36,1.2,1,0.72509,chamber,25.0,left,127.27278,30.23964,114.50106,-12.30982,79.85711,161.681,18.1435,120.43384,-1.15811,77.59694,6.49047,1.03378,-6.40691,-5.38052,-126.48912,-129.21163,-2.72252,0.7584,0.65854,0.85561,0.96,0.30155,0.25862,-1.35494,-0.70644,-1.51537,0.05163,-0.45705,0.07857,-0.07667,0.22248,1.07775,0.20026,0.545,-0.09209,0.03263,0.0977,0.9998,0,-895.12834,527.82725,-114.49321,-30.28209,-80.35285,-3.4791,7.26103
37,1.23333,1,0.80417,chamber,50.0,left,102.03108,44.34269,114.0129,-22.13851,87.7829,158.88493,15.9105,120.92547,-3.12634,78.49814,6.50018,-0.76667,-6.45442,-8.31854,-122.06942,-126.74491,-4.67549,0.76276,0.66495,0.72828,0.96787,0.40844,0.21502,-1.12413,-0.57049,-1.54007,0.10917,-0.37607,0.07545,-0.09123,0.24219,0.58767,-0.10448,0.57585,-0.06409,-0.01133,0.06509,1.73646,0,-457.75351,390.20674,6.56169,-53.83544,-82.88304,-3.00688,7.37006
38,1.26667,1,0.81493,chamber,75.0,left,96.75588,56.25342,116.27704,-29.64266,81.8417,162.11845,10.30809,116.95886,0.88061,78.76721,5.00938,-2.55525,-4.3058,-10.90605,-122.48539,-128.65261,-6.16722,0.77379,0.67959,0.65515,0.98163,0.54709,0.10472,-0.95781,-0.36358,-1.56694,0.14398,-0.3447,0.07177,-0.07298,0.26118,0.68201,0.12449,0.60579,-0.04615,-0.06317,0.07823,0.73627,0,-94.80827,455.41931,41.15922,-37.63158,-84.5574,-0.94686,7.95273
39,1.3,1,0.92031,extension,0.0,left,95.71053,74.70397,121.00327,-36.7052,71.47209,161.62888,11.24969,114.25051,0.87946,76.2052,4.66882,-3.27544,-3.32344,-13.9557,-124.24053,-132.18581,-7.94528,0.83484,0.76241,0.66516,0.94571,0.75093,-0.07565,-0.84214,-0.11869,-1.52301,0.17777,-0.28508,0.08402,-0.07178,0.28292,0.70026,0.30498,0.58264,-0.05472,-0.0304,0.0626,1.40839,0,36.08624,458.03739,-95.31901,-22.94089,-92.62443,0.49078,8.44356
